LOMAKE;K1A1;K1A2;K1A2L;K1A3;K1A3L;K1A4;K1A5;K1A6;K1A8L;K1B;K2A1;K2A2;K2A3;K2A4;K2A5;K2A6;K2A8;K2A9;K3A1;K3A2;K3A3;K3A4;K3A5;K3A6;K3A7;K3A8;K3A9;K3A10;K3A11;K3A12;K3A13;K3A14;K3A15;K4A1L;K4A2L;K4A3L;K4A4L;K3B;T1;T1L;T2;T20L;T21A;T21B;T21C;T21D;T3A;T3B;T3C;T3D;T4A;T4A1;T4A2;T4B1;T4B2;T4C;T4D;T4E;T4F;T4G;T5A;T5B;T5C;T5D;T5E;T5S;T5U;T6;T7;T8;T9A;T9B;T9C;T9D;T9E;T9F;T9G;T9H;T10;T11;T12;T13;T14;T15;JUNA_ASEMA;LAHTOLAITURI;LINJA;LIIKENNEMUOTO;ALUE;SUUNTA;VAUNUTYYPPI;VAUNUNRO;ALUS;TASTE;SAA;PAIVAMAARA;KAUSI;JOKERI;TUTKIJA;KIELI;KOHDE;LIIKENNOITSIJA;PAINO
441254;4;4;;4;;4;4;4;;4;4;5;5;5;5;4;;;;;;;;;;;4;4;1;1;;;;;;;;4;1;;2;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1963;2;1;;;;;;;;91;;;;3;2;;;77A;2;91;2;;740;;1;1;26.6.2014 16:35;2;;5838;1;H95;NOF;14.8147082051012
441255;3;3;;4;;3;3;4;;4;5;5;5;3;4;5;;;;;;;;;;;4;4;;5;;;;;;;;4;3;;2;;;;;;;;1;;;;;;;;;;;;1;;;;;;;1;1964;2;1;;;;;;;;91;;;2;3;2;;;77A;2;91;2;;740;;1;1;26.6.2014 16:35;2;;5838;1;H95;NOF;14.8147082051012
441256;4;3;;4;;;4;4;;;4;4;;;;4;;;;;;;;;;;4;4;;;;;;;;;;4;1;;1;;;;;;;1;;;;;;;;;;;;;;1;;;;;;1;1998;1;;;;1;;;;;91;;;;;2;;;77A;2;91;2;;740;;1;1;26.6.2014 16:35;2;;5838;1;H95;NOF;14.8147082051012
441257;4;5;;5;;4;4;4;;4;5;5;5;5;5;5;;;;;;;;;;;5;5;1;1;;;;;;;;4;3;;2;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1;1991;2;;;;1;;;;;91;;;1;2;2;;;77A;2;91;2;;740;;1;1;26.6.2014 16:35;2;;5838;1;H95;NOF;14.8147082051012
441258;4;4;;3;;3;3;4;;4;5;5;5;4;4;3;;;;;;;;;;;4;3;3;1;;;;;;;;4;4;;2;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1;1996;2;;;;1;;;;;92;;;3;3;2;;;77A;2;91;2;;740;;1;1;26.6.2014 16:35;2;;5838;1;H95;NOF;14.8147082051012
441259;3;4;;4;;4;3;4;;4;5;5;4;4;4;4;;;;;;;;;;;5;5;1;1;;;;;;;;5;2;;2;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1958;1;1;;;;;;;;91;;;1;2;2;;;77A;2;91;2;;740;;1;1;26.6.2014 16:35;2;;5838;1;H95;NOF;14.8147082051012
441260;5;5;;3;;4;5;5;;5;5;5;3;5;5;5;;;;;;;;;;;5;4;;;;;;;;;;5;1;;2;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1992;2;1;;;1;;;;;91;;;1;1;2;;;79;2;91;2;;449;;1;2;27.6.2014 6:10;2;;5838;1;H173;NOF;33.5011310634495
441261;4;3;;3;;5;5;5;;4;4;3;4;;5;5;;;;;;;;;;;5;4;2;4;;;;;;;;4;2;;3;;;;;;;;1;;;;;;;;;;;;1;;;;;;;1;1968;2;;1;;;;;;;91;;;1;3;2;;;69;2;91;1;;1213;;1;1;26.6.2014 15:55;2;;5838;1;H143+;VEO;22.0830298460498
441262;4;4;;4;;5;;4;;4;5;5;5;4;5;3;;;;;;;;;;;4;4;1;1;;;;;;;;5;4;;2;;;;;;;;1;;;;;;;;;;;;1;;;;;;;1;1987;2;;;;1;;;;;91;;;1;2;2;;;69;2;91;1;;1213;;1;1;26.6.2014 15:55;2;;5838;1;H143+;VEO;22.0830298460498
441263;3;4;;3;;4;4;4;;4;5;5;5;4;4;3;;;;;;;;;;;4;3;1;1;;;;;;;;4;2;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;1;1994;2;;;;;;;1;;91;;;1;1;2;;;69;2;91;1;;1213;;1;1;26.6.2014 15:55;2;;5838;1;H143+;VEO;22.0830298460498
441264;5;4;;3;;5;5;5;;5;5;5;4;4;4;4;;;;;;;;;;;4;4;1;1;;;;;;;;4;2;;1;;;;;;;;1;;;;;;;;;;;;1;;;;;;;2;1979;2;1;;;;;;;;91;;;1;1;1;;;69;2;91;1;;1213;;1;1;26.6.2014 15:55;2;;5838;1;H143+;VEO;22.0830298460498
441265;5;3;;4;;3;5;5;;4;5;5;5;5;5;5;;;;;;;;;;;5;5;3;3;;;;;;;;4;2;;2;;;;;;1;;;;;;;;;;;;;;1;;;;;;;2;1953;1;;1;;;;;;;91;;;1;1;2;;;69;2;91;1;;1212;;1;1;26.6.2014 15:30;2;;5838;1;H143+;VEO;22.0830298460498
441267;3;3;;4;;4;4;4;;5;5;5;4;4;5;4;;;;;;;;;;;4;4;2;2;;;;;;;;4;2;;1;;;;;;;;1;;;;;;;;;;;;1;;;;;;;1;1966;2;1;;;;;;;;91;;;2;1;2;;;69;2;91;1;;1212;;1;1;26.6.2014 15:30;2;;5838;1;H143+;VEO;22.0830298460498
441268;4;3;;4;;3;4;4;;4;3;5;4;5;5;5;;;;;;;;;;;3;3;;4;;;;;;;;3;2;;2;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1993;2;1;;;1;;;;;91;;;1;1;2;;;69;2;91;1;;1212;;1;1;26.6.2014 15:30;2;;5838;1;H143+;VEO;22.0830298460498
441269;4;4;;5;;5;5;4;;4;5;5;5;4;4;4;;;;;;;;;;;5;5;5;5;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69;2;91;1;;1212;;1;1;26.6.2014 15:30;2;;5838;1;H143+;VEO;22.0830298460498
441270;;2;;1;;1;1;1;;2;5;5;3;;3;1;;;;;;;;;;;1;1;;;;;;;;;;1;1;;4;;;;;;1;;;;;;;;;;;;;;1;;;;;;;2;1981;1;;1;;;;;;;91;;;4;2;2;;;73;2;91;1;;5;;1;1;26.6.2014 15:10;2;;5838;1;H93;TL;24.0128189936592
441271;3;;;3;;5;5;3;;4;5;5;4;4;5;5;;;;;;;;;;;5;5;1;1;;;;;;;;5;1;;4;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1963;2;;1;;;;;;;91;;;2;2;2;;;73;2;91;1;;5;;1;1;26.6.2014 15:10;2;;5838;1;H93;TL;24.0128189936592
441272;4;3;;4;;4;3;4;;4;5;5;4;4;4;3;;;;;;;;;;;4;4;3;5;;;;;;;;4;1;;3;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1951;2;;1;;;;;;;91;;;3;1;2;;;73;2;91;1;;5;;1;1;26.6.2014 15:10;2;;5838;1;H93;TL;24.0128189936592
441273;4;3;;3;;;4;5;;;5;4;4;;4;4;;;;;;;;;;;4;3;1;1;;;;;;;;4;2;;2;;;;;;;;1;;;;;;;;;;;;;;;;1;;;1;1981;2;;;;;1;;;;91;;;1;1;2;;;69;2;91;1;;1213;;1;1;26.6.2014 15:55;2;;5838;1;H143+;VEO;22.0830298460498
441274;4;4;;4;;5;5;5;;4;5;5;5;5;5;5;;;;;;;;;;;4;4;4;4;;;;;;;;5;2;;2;;;;;;;;1;;;;;;;;;;;;1;;;;;;;2;1947;2;;;;;;1;;;91;;;1;1;2;;;69;2;91;1;;1212;;1;1;26.6.2014 15:30;2;;5838;1;H143+;VEO;22.0830298460498
441275;5;5;;5;;5;5;5;;5;5;5;5;5;5;5;;;;;;;;;;;4;4;2;2;;;;;;;;5;1;;2;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1;1985;1;;;;;;;1;;91;;;2;3;2;;;68;2;91;1;;1246;;1;1;26.6.2014 15:00;2;;5838;1;H145;VEO;78.1359259918576
